id,url,title,image_url
promo-website-terms-of-use,https://www.bondivet.com/promo/website-terms-of-use,*Website terms of use,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-house-visit-competition-terms-conditions,https://www.bondivet.com/promo/house-visit-competition-terms-conditions,Bondi Vet house visit competition T&Cs,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-medechat-terms-of-use,https://www.bondivet.com/promo/medechat-terms-of-use,*Vet consultation terms of use,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-exchange-and-refunds,https://www.bondivet.com/promo/exchange-and-refunds,Bondi Vet returns & refunds,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-house-call-comp,https://www.bondivet.com/promo/house-call-comp,House Call Competition on Bondi Vet,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-shop-nexgard-spectra-brand,https://www.bondivet.com/promo/shop-nexgard-spectra-brand,NexGard SPECTRA on Bondi Vet,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-shop-advocate-bondi-pet,https://www.bondivet.com/promo/shop-advocate-bondi-pet,Advocate brands on Bondi Vet,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cookie-policy,https://www.bondivet.com/promo/cookie-policy,Cookies Policy,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-privacy-policy,https://www.bondivet.com/promo/privacy-policy,Privacy policy,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-specials-page-royal-canin,https://www.bondivet.com/promo/specials-page-royal-canin,Royal Canin pet food page,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-specials-page-hills,https://www.bondivet.com/promo/specials-page-hills,Hills pet food page,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-gift-card-faqs,https://www.bondivet.com/promo/bondi-vet-gift-card-faqs,Gift card Frequently Asked Questions,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-sell-with-us,https://www.bondivet.com/promo/sell-with-us,Become a seller on Bondi Vet,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-terms-conditions,https://www.bondivet.com/promo/terms-conditions,Customer terms of use,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-faq,https://www.bondivet.com/promo/bondi-vet-faq,Frequently asked questions,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-competition-terms-conditions,https://www.bondivet.com/promo/competition-terms-conditions,Bondi Vet competition T&Cs,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-intestinal-pain,https://www.bondivet.com/promo/intestinal-pain,Dr Kate on intestinal pain,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cat-dental-health,https://www.bondivet.com/promo/cat-dental-health,Danni on cat teeth,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-gift-store,https://www.bondivet.com/promo/bondi-vet-gift-store,Bondi Vet Gift Shop,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-pet-behaviour-blog,https://www.bondivet.com/promo/pet-behaviour-blog,Pet behaviour stories and tips from BONDI VET,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-managing-cats-weight,https://www.bondivet.com/promo/managing-cats-weight,How to manage your cat's weight?,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-new-pet-products,https://www.bondivet.com/promo/new-pet-products,Latest Pet Product Arrivals,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cat-water-intake,https://www.bondivet.com/promo/cat-water-intake,How much water does your cat need?,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-special-offers,https://www.bondivet.com/promo/special-offers,Special Offers on Pet Products,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-key-ingredients-in-cat-food,https://www.bondivet.com/promo/key-ingredients-in-cat-food,The key ingredient in your cat's food,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-human-food-dangerous-for-cats,https://www.bondivet.com/promo/human-food-dangerous-for-cats,What food can make your cat sick?,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cat-food-for-each-lifestage,https://www.bondivet.com/promo/cat-food-for-each-lifestage,Age appropriate cat food,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-dog-health,https://www.bondivet.com/promo/bondi-vet-dog-health,**Dog health,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-frequently-asked-questions,https://www.bondivet.com/promo/frequently-asked-questions,MP_Frequently Asked Questions,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-pet-membership,https://www.bondivet.com/promo/bondi-pet-membership,MP_Bondi Pet Membership,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-pet-services,https://www.bondivet.com/promo/pet-services,MP_Pet Services,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-shipping-delivery,https://www.bondivet.com/promo/shipping-delivery,MP_Shipping & Delivery,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-pet-telehealth,https://www.bondivet.com/promo/pet-telehealth,MP_Pet Telehealth,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-choose-right-cat-food,https://www.bondivet.com/promo/choose-right-cat-food,How to choose the right food for your cat,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-puppy-care-blog,https://www.bondivet.com/promo/puppy-care-blog,Complete Guide to Puppy Care from Bondi Vet Team,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cat-nutrition-blog,https://www.bondivet.com/promo/cat-nutrition-blog,Your complete guide to cat nutrition,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-kitten-care-blog,https://www.bondivet.com/promo/kitten-care-blog,Complete Guide on Kitten Care from Bondi Vet Team,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-cat-wellbeing-blog,https://www.bondivet.com/promo/cat-wellbeing-blog,Cat Health Stories and Advice from Bondi Vets,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
